team,squad_value_eur,n_players,as_of
Mexico,223000000,23,2026-06-10
South Africa,52000000,23,2026-06-10
South Korea,147100000,23,2026-06-10
Czech Republic,228000000,23,2026-06-10
Canada,204500000,23,2026-06-10
Bosnia and Herzegovina,164500000,23,2026-06-10
Qatar,20925000,23,2026-06-10
Switzerland,375500000,23,2026-06-10
Brazil,1278000000,23,2026-06-10
Morocco,575000000,23,2026-06-10
Haiti,56025000,23,2026-06-10
Scotland,230600000,23,2026-06-10
United States,456000000,23,2026-06-10
Paraguay,171800000,23,2026-06-10
Australia,93400000,23,2026-06-10
Turkey,18550000,23,2026-06-10
Germany,1141000000,23,2026-06-10
Curaçao,33800000,23,2026-06-10
Ivory Coast,585000000,23,2026-06-10
Ecuador,387500000,23,2026-06-10
Netherlands,910000000,23,2026-06-10
Japan,323000000,23,2026-06-10
Sweden,508000000,23,2026-06-10
Tunisia,80500000,23,2026-06-10
Belgium,657000000,23,2026-06-10
Egypt,116000000,23,2026-06-10
Iran,42800000,23,2026-06-10
New Zealand,35150000,23,2026-06-10
Spain,1440000000,23,2026-06-10
Cape Verde,72900000,23,2026-06-10
Saudi Arabia,46800000,23,2026-06-10
Uruguay,412000000,23,2026-06-10
France,1730000000,23,2026-06-10
Senegal,509000000,23,2026-06-10
Iraq,25225000,23,2026-06-10
Norway,620000000,23,2026-06-10
Argentina,997000000,23,2026-06-10
Algeria,303500000,23,2026-06-10
Austria,351000000,23,2026-06-10
Jordan,21550000,23,2026-06-10
Portugal,1123000000,23,2026-06-10
DR Congo,174500000,23,2026-06-10
Uzbekistan,87000000,23,2026-06-10
Colombia,368000000,23,2026-06-10
England,1650000000,23,2026-06-10
Croatia,414000000,23,2026-06-10
Ghana,310500000,23,2026-06-10
Panama,39600000,23,2026-06-10
