date,stage,team_a,team_b,actual_score,pred_score,xg_a,xg_b,p_a,p_draw,p_b,pred_90,actual_90,hit_90,exact_hit,rps,brier,logloss,abs_err_a,abs_err_b,p_advance_a,pred_winner,actual_winner,advance_hit,advance_brier,advance_logloss
2026-06-11,group,Mexico,South Africa,2-0,2-0,1.9232,0.5393,0.6943,0.2223,0.0833,H,H,1,1.0,0.0502,0.1498,0.3648,0.0768,0.5393,,,,,,
2026-06-11,group,South Korea,Czech Republic,2-1,1-1,1.3402,1.0623,0.4139,0.3066,0.2795,H,H,1,0.0,0.2109,0.5157,0.8822,0.6598,0.0623,,,,,,
2026-06-12,group,Canada,Bosnia and Herzegovina,1-1,2-0,1.9776,0.5992,0.6892,0.22,0.0908,H,D,0,0.0,0.2416,1.0917,1.5142,0.9776,0.4008,,,,,,
2026-06-12,group,United States,Paraguay,4-1,1-1,1.0825,1.3346,0.2861,0.3062,0.4077,A,H,0,0.0,0.3379,0.7697,1.2515,2.9175,0.3346,,,,,,
2026-06-13,group,Qatar,Switzerland,1-1,0-3,0.5213,3.2272,0.0272,0.0937,0.8792,A,D,0,0.0,0.3868,1.5951,2.3681,0.4787,2.2272,,,,,,
2026-06-13,group,Brazil,Morocco,1-1,0-0,0.8919,0.9573,0.3032,0.3582,0.3386,D,D,1,0.0,0.1033,0.6185,1.0267,0.1081,0.0427,,,,,,
2026-06-13,group,Haiti,Scotland,0-1,1-1,0.9392,1.7999,0.1798,0.2581,0.5621,A,A,1,0.0,0.112,0.2907,0.576,0.9392,0.7999,,,,,,
2026-06-13,group,Australia,Turkey,2-0,1-1,1.0271,1.2528,0.2856,0.3171,0.3973,A,H,0,0.0,0.3341,0.7687,1.253,0.9729,1.2528,,,,,,
2026-06-14,group,Germany,Curaçao,7-1,2-0,2.8804,0.659,0.8183,0.1309,0.0508,H,H,1,0.0,0.0178,0.0527,0.2005,4.1196,0.341,,,,,,
2026-06-14,group,Ivory Coast,Ecuador,1-0,0-0,0.5435,0.9862,0.1828,0.3794,0.4378,A,H,0,0.0,0.4297,1.0034,1.6992,0.4565,0.9862,,,,,,
2026-06-14,group,Netherlands,Japan,2-2,1-1,1.0259,1.3407,0.2695,0.3081,0.4224,A,D,0,0.0,0.1255,0.7298,1.1773,0.9741,0.6593,,,,,,
2026-06-14,group,Sweden,Tunisia,5-1,1-1,1.1759,1.0147,0.3779,0.3255,0.2966,H,H,1,0.0,0.2375,0.581,0.9732,3.8241,0.0147,,,,,,
2026-06-15,group,Belgium,Egypt,1-1,0-0,1.1935,0.7858,0.4388,0.3352,0.226,H,D,0,0.0,0.1218,0.6856,1.0931,0.1935,0.2142,,,,,,
