team,group,elo_pre,reach_R32_%,reach_R16_%,quarterfinal_%,semifinal_%,final_%,champion_%,p_group_winner_%,modal_group_pos,actual_group_pos,expected_rounds,actual_rounds,over_under,actual_finish
Spain,H,2215,99.125,73.535,54.045,40.81,27.955,18.145,78.23,1,1,3.1361,6,2.8639,Champion
Argentina,J,2187,97.95,69.515,55.75,40.2,26.48,16.59,75.46,1,1,3.0649,5,1.9351,Runner-up
France,I,2122,97.12,75.5,53.71,37.34,22.515,13.8,63.435,1,1,2.9999,4,1.0001,Semi-final
Brazil,C,2068,95.92,67.06,42.995,26.975,14.505,7.795,59.555,1,1,2.5525,2,-0.5525,Round of 16
England,L,2085,96.38,64.01,39.66,22.645,12.03,6.015,60.535,1,1,2.4074,4,1.5926,Semi-final
Portugal,K,2041,91.435,63.18,39.15,22.115,12.0,5.975,49.055,1,2,2.3386,2,-0.3386,Round of 16
Germany,E,2003,95.2,61.63,31.93,18.45,9.275,4.35,54.255,1,1,2.2084,1,-1.2084,Round of 32
Colombia,K,2057,88.7,55.81,31.85,16.86,8.255,3.51,38.385,1,1,2.0498,2,-0.0499,Round of 16
Belgium,G,1955,94.695,63.625,36.79,16.145,7.535,3.085,61.23,1,1,2.2187,3,0.7813,Quarter-final
Netherlands,F,2004,90.325,43.79,25.485,12.39,5.63,2.33,47.445,1,1,1.7995,1,-0.7995,Round of 32
Morocco,C,1984,87.235,50.345,28.24,13.455,5.72,2.275,28.2,2,2,1.8727,3,1.1273,Quarter-final
Norway,I,1969,84.8,47.57,24.515,12.22,5.21,2.01,21.035,2,2,1.7633,3,1.2367,Quarter-final
Ecuador,E,2022,88.1,48.25,22.55,10.715,4.555,1.625,30.37,2,3,1.758,1,-0.758,Round of 32
Switzerland,B,1954,93.435,58.35,26.52,10.37,4.23,1.555,45.345,1,1,1.9446,3,1.0554,Quarter-final
Croatia,L,1965,87.165,44.295,20.82,9.67,4.135,1.535,30.015,2,2,1.6762,1,-0.6762,Round of 32
Mexico,A,1975,95.69,57.685,25.975,10.295,3.925,1.46,63.885,1,1,1.9503,2,0.0497,Round of 16
Uruguay,H,1974,86.885,35.94,18.91,8.71,3.495,1.235,18.235,2,3,1.5518,0,-1.5518,Group stage
Japan,F,1992,86.095,37.095,19.14,8.61,3.225,1.11,35.9,1,2,1.5528,1,-0.5528,Round of 32
Senegal,I,1918,78.015,38.415,17.47,7.095,2.725,0.985,14.695,3,3,1.447,1,-0.447,Round of 32
Canada,B,1894,94.775,48.99,18.125,5.815,1.84,0.585,47.555,1,2,1.7013,2,0.2987,Round of 16
Paraguay,D,1917,71.295,37.995,15.22,5.28,1.82,0.55,26.84,1,3,1.3216,2,0.6784,Round of 16
Austria,J,1888,70.64,25.41,10.71,4.085,1.495,0.45,11.8,2,2,1.1279,1,-0.1279,Round of 32
Turkey,D,1968,67.95,34.32,12.51,3.875,1.325,0.44,23.585,3,4,1.2042,0,-1.2042,Group stage
South Korea,A,1879,74.595,35.7,14.095,4.305,1.315,0.42,17.8,2,3,1.3043,0,-1.3043,Group stage
United States,D,1824,74.28,37.84,14.06,4.32,1.335,0.39,31.025,1,1,1.3222,2,0.6778,Round of 16
Algeria,J,1871,66.385,23.29,9.7,3.475,1.145,0.33,10.06,3,3,1.0432,1,-0.0433,Round of 32
Czech Republic,A,1800,72.135,33.3,11.91,3.515,1.025,0.26,15.745,3,4,1.2214,0,-1.2214,Group stage
Australia,D,1899,60.94,28.735,9.39,2.96,0.915,0.22,18.55,4,2,1.0316,1,-0.0316,Round of 32
Scotland,C,1843,63.21,24.69,9.495,3.03,0.84,0.21,10.37,3,3,1.0148,0,-1.0148,Group stage
Ivory Coast,E,1813,73.28,28.785,9.825,3.03,0.815,0.19,14.155,3,2,1.1593,1,-0.1593,Round of 32
Iran,G,1896,73.53,33.325,10.3,2.56,0.73,0.18,19.535,2,3,1.2063,0,-1.2063,Group stage
Sweden,F,1769,58.725,15.1,5.195,1.515,0.455,0.115,11.92,3,3,0.8111,1,0.1889,Round of 32
Egypt,G,1809,65.37,25.33,7.31,1.835,0.435,0.1,14.995,3,2,1.0038,2,0.9962,Round of 16
Uzbekistan,K,1824,44.85,12.525,3.7,1.025,0.25,0.05,6.91,4,4,0.624,0,-0.624,Group stage
Panama,L,1848,51.07,14.295,4.66,1.13,0.245,0.045,6.795,3,4,0.7144,0,-0.7144,Group stage
