checkpoint,cutoff,team,champion_%,final_%,semifinal_%
Pre-tournament,,Spain,18.145,27.955,40.81
Pre-tournament,,Argentina,16.59,26.48,40.2
Pre-tournament,,France,13.8,22.515,37.34
Pre-tournament,,Brazil,7.795,14.505,26.975
Pre-tournament,,England,6.015,12.03,22.645
Pre-tournament,,Portugal,5.975,12.0,22.115
Pre-tournament,,Germany,4.35,9.275,18.45
Pre-tournament,,Colombia,3.51,8.255,16.86
Pre-tournament,,Belgium,3.085,7.535,16.145
Pre-tournament,,Netherlands,2.33,5.63,12.39
Pre-tournament,,Morocco,2.275,5.72,13.455
Pre-tournament,,Norway,2.01,5.21,12.22
Pre-tournament,,Ecuador,1.625,4.555,10.715
Pre-tournament,,Switzerland,1.555,4.23,10.37
Pre-tournament,,Croatia,1.535,4.135,9.67
Pre-tournament,,Mexico,1.46,3.925,10.295
Pre-tournament,,Uruguay,1.235,3.495,8.71
Pre-tournament,,Japan,1.11,3.225,8.61
Pre-tournament,,Senegal,0.985,2.725,7.095
Pre-tournament,,Canada,0.585,1.84,5.815
Pre-tournament,,Paraguay,0.55,1.82,5.28
Pre-tournament,,Austria,0.45,1.495,4.085
Pre-tournament,,Turkey,0.44,1.325,3.875
Pre-tournament,,South Korea,0.42,1.315,4.305
Pre-tournament,,United States,0.39,1.335,4.32
Pre-tournament,,Algeria,0.33,1.145,3.475
Pre-tournament,,Czech Republic,0.26,1.025,3.515
Pre-tournament,,Australia,0.22,0.915,2.96
Pre-tournament,,Scotland,0.21,0.84,3.03
Pre-tournament,,Ivory Coast,0.19,0.815,3.03
Pre-tournament,,Iran,0.18,0.73,2.56
Pre-tournament,,Sweden,0.115,0.455,1.515
Pre-tournament,,Egypt,0.1,0.435,1.835
Pre-tournament,,Uzbekistan,0.05,0.25,1.025
Pre-tournament,,Panama,0.045,0.245,1.13
Pre-tournament,,DR Congo,0.04,0.26,0.945
Pre-tournament,,Bosnia and Herzegovina,0.01,0.075,0.455
Pre-tournament,,South Africa,0.01,0.015,0.16
Pre-tournament,,Cape Verde,0.005,0.05,0.15
Pre-tournament,,Jordan,0.005,0.035,0.375
Pre-tournament,,Saudi Arabia,0.005,0.03,0.205
Pre-tournament,,Qatar,0.005,0.01,0.04
Pre-tournament,,New Zealand,0.0,0.045,0.22
Pre-tournament,,Tunisia,0.0,0.035,0.24
Pre-tournament,,Iraq,0.0,0.025,0.075
Pre-tournament,,Haiti,0.0,0.02,0.15
Pre-tournament,,Ghana,0.0,0.015,0.13
Pre-tournament,,Curaçao,0.0,0.0,0.03
After matchday 1,2026-06-17,Argentina,21.74,32.02,47.005
After matchday 1,2026-06-17,France,13.79,22.965,36.595
After matchday 1,2026-06-17,Spain,12.47,21.465,33.335
After matchday 1,2026-06-17,England,8.04,14.875,27.9
After matchday 1,2026-06-17,Colombia,6.47,12.8,24.2
After matchday 1,2026-06-17,Brazil,6.345,12.17,22.835
After matchday 1,2026-06-17,Germany,4.04,8.885,17.72
After matchday 1,2026-06-17,Portugal,3.705,7.94,16.545
