match,round,fixture,team_a,team_b,score,winner,flag
73,R32,South Korea v Switzerland,South Korea,Switzerland,0-1,Switzerland,
74,R32,Germany v Scotland,Germany,Scotland,2-1,Germany,
75,R32,Netherlands v Morocco,Netherlands,Morocco,0-1,Morocco,
76,R32,Brazil v Japan,Brazil,Japan,1-1 (pens 5-4),Japan,
77,R32,France v Sweden,France,Sweden,2-0,France,
78,R32,Ecuador v Norway,Ecuador,Norway,0-0 (pens 5-4),Norway,
79,R32,Mexico v Ivory Coast,Mexico,Ivory Coast,1-0,Mexico,
80,R32,England v Senegal,England,Senegal,1-0,England,
81,R32,United States v Bosnia and Herzegovina,United States,Bosnia and Herzegovina,1-0,United States,
82,R32,Belgium v Czech Republic,Belgium,Czech Republic,1-0,Belgium,
83,R32,Colombia v Croatia,Colombia,Croatia,1-0,Colombia,
84,R32,Spain v Austria,Spain,Austria,2-0,Spain,
85,R32,Canada v Algeria,Canada,Algeria,1-1 (pens 5-4),Canada,
86,R32,Argentina v Uruguay,Argentina,Uruguay,1-0,Argentina,
87,R32,Portugal v Panama,Portugal,Panama,2-0,Portugal,
88,R32,Paraguay v Iran,Paraguay,Iran,1-0,Paraguay,
89,R16,Germany v France,Germany,France,1-2,France,
90,R16,Switzerland v Morocco,Switzerland,Morocco,0-1,Morocco,
91,R16,Japan v Norway,Japan,Norway,1-1 (pens 5-4),Norway,
92,R16,Mexico v England,Mexico,England,0-1,England,
93,R16,Colombia v Spain,Colombia,Spain,0-1,Spain,
94,R16,United States v Belgium,United States,Belgium,0-1,Belgium,
95,R16,Argentina v Paraguay,Argentina,Paraguay,1-0,Argentina,
96,R16,Canada v Portugal,Canada,Portugal,0-1,Portugal,
97,QF,France v Morocco,France,Morocco,0-0 (pens 5-4),France,
98,QF,Spain v Belgium,Spain,Belgium,2-0,Spain,
99,QF,Norway v England,Norway,England,0-1,England,
100,QF,Argentina v Portugal,Argentina,Portugal,1-0,Argentina,
101,SF,France v Spain,France,Spain,0-1,Spain,
102,SF,England v Argentina,England,Argentina,0-1,Argentina,
103,3rd,France v England,France,England,0-0 (pens 5-4),England,
104,Final,Spain v Argentina,Spain,Argentina,0-0 (pens 5-4),Spain,
