team,elo,champion_%,final_%,semifinal_%,quarterfinal_%,reach_R16_%,reach_R32_%
Spain,2215,18.14,27.96,40.81,54.04,73.54,99.12
Argentina,2187,16.59,26.48,40.2,55.75,69.52,97.95
France,2122,13.8,22.52,37.34,53.71,75.5,97.12
Brazil,2068,7.8,14.5,26.98,43.0,67.06,95.92
England,2085,6.02,12.03,22.64,39.66,64.01,96.38
Portugal,2041,5.98,12.0,22.12,39.15,63.18,91.44
Germany,2003,4.35,9.28,18.45,31.93,61.63,95.2
Colombia,2057,3.51,8.26,16.86,31.85,55.81,88.7
Belgium,1955,3.08,7.54,16.14,36.79,63.62,94.7
Netherlands,2004,2.33,5.63,12.39,25.48,43.79,90.32
Morocco,1984,2.28,5.72,13.46,28.24,50.34,87.24
Norway,1969,2.01,5.21,12.22,24.52,47.57,84.8
Ecuador,2022,1.62,4.56,10.72,22.55,48.25,88.1
Switzerland,1954,1.56,4.23,10.37,26.52,58.35,93.44
Croatia,1965,1.54,4.14,9.67,20.82,44.3,87.16
Mexico,1975,1.46,3.92,10.3,25.98,57.68,95.69
Uruguay,1974,1.24,3.5,8.71,18.91,35.94,86.88
Japan,1992,1.11,3.22,8.61,19.14,37.1,86.1
Senegal,1918,0.98,2.72,7.1,17.47,38.42,78.02
Canada,1894,0.58,1.84,5.82,18.12,48.99,94.78
Paraguay,1917,0.55,1.82,5.28,15.22,37.99,71.3
Austria,1888,0.45,1.5,4.08,10.71,25.41,70.64
Turkey,1968,0.44,1.32,3.88,12.51,34.32,67.95
South Korea,1879,0.42,1.32,4.3,14.1,35.7,74.6
United States,1824,0.39,1.34,4.32,14.06,37.84,74.28
Algeria,1871,0.33,1.14,3.48,9.7,23.29,66.39
Czech Republic,1800,0.26,1.02,3.52,11.91,33.3,72.14
Australia,1899,0.22,0.92,2.96,9.39,28.74,60.94
Scotland,1843,0.21,0.84,3.03,9.49,24.69,63.21
Ivory Coast,1813,0.19,0.82,3.03,9.82,28.78,73.28
Iran,1896,0.18,0.73,2.56,10.3,33.33,73.53
Sweden,1769,0.12,0.46,1.52,5.2,15.1,58.72
Egypt,1809,0.1,0.44,1.84,7.31,25.33,65.37
Uzbekistan,1824,0.05,0.25,1.02,3.7,12.52,44.85
Panama,1848,0.04,0.24,1.13,4.66,14.3,51.07
DR Congo,1771,0.04,0.26,0.94,3.68,12.51,41.16
Bosnia and Herzegovina,1650,0.01,0.08,0.46,2.82,13.28,48.72
South Africa,1661,0.01,0.02,0.16,1.38,6.82,25.62
Cape Verde,1652,0.0,0.05,0.15,1.19,6.1,33.67
Jordan,1779,0.0,0.04,0.38,1.71,6.86,29.61
Saudi Arabia,1685,0.0,0.03,0.2,1.36,6.02,33.35
Qatar,1565,0.0,0.01,0.04,0.57,3.7,24.42
New Zealand,1718,0.0,0.04,0.22,1.58,9.38,34.12
Tunisia,1737,0.0,0.04,0.24,1.4,5.92,33.38
Iraq,1749,0.0,0.02,0.08,0.55,2.6,12.99
Haiti,1696,0.0,0.02,0.15,0.81,4.07,21.36
Ghana,1624,0.0,0.02,0.13,0.92,5.12,28.84
Curaçao,1601,0.0,0.0,0.03,0.32,2.4,15.45
