team,elo,champion_%,final_%,semifinal_%,quarterfinal_%,reach_R16_%,reach_R32_%
Spain,2323,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,2245,0.0,100.0,100.0,100.0,100.0,100.0
France,2138,0.0,0.0,100.0,100.0,100.0,100.0
England,2190,0.0,0.0,100.0,100.0,100.0,100.0
Switzerland,1994,0.0,0.0,0.0,100.0,100.0,100.0
Morocco,2029,0.0,0.0,0.0,100.0,100.0,100.0
Belgium,2016,0.0,0.0,0.0,100.0,100.0,100.0
Norway,2019,0.0,0.0,0.0,100.0,100.0,100.0
Mexico,2044,0.0,0.0,0.0,0.0,100.0,100.0
Canada,1855,0.0,0.0,0.0,0.0,100.0,100.0
Brazil,2075,0.0,0.0,0.0,0.0,100.0,100.0
United States,1884,0.0,0.0,0.0,0.0,100.0,100.0
Paraguay,1887,0.0,0.0,0.0,0.0,100.0,100.0
Egypt,1854,0.0,0.0,0.0,0.0,100.0,100.0
Portugal,2056,0.0,0.0,0.0,0.0,100.0,100.0
Colombia,2081,0.0,0.0,0.0,0.0,100.0,100.0
South Africa,1689,0.0,0.0,0.0,0.0,0.0,100.0
Bosnia and Herzegovina,1664,0.0,0.0,0.0,0.0,0.0,100.0
Australia,1895,0.0,0.0,0.0,0.0,0.0,100.0
Germany,1986,0.0,0.0,0.0,0.0,0.0,100.0
Ivory Coast,1841,0.0,0.0,0.0,0.0,0.0,100.0
Ecuador,1949,0.0,0.0,0.0,0.0,0.0,100.0
Netherlands,2040,0.0,0.0,0.0,0.0,0.0,100.0
Japan,1971,0.0,0.0,0.0,0.0,0.0,100.0
Sweden,1797,0.0,0.0,0.0,0.0,0.0,100.0
Cape Verde,1697,0.0,0.0,0.0,0.0,0.0,100.0
Senegal,1884,0.0,0.0,0.0,0.0,0.0,100.0
Algeria,1847,0.0,0.0,0.0,0.0,0.0,100.0
Austria,1887,0.0,0.0,0.0,0.0,0.0,100.0
DR Congo,1816,0.0,0.0,0.0,0.0,0.0,100.0
Croatia,1943,0.0,0.0,0.0,0.0,0.0,100.0
Ghana,1680,0.0,0.0,0.0,0.0,0.0,100.0
South Korea,1833,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,1746,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1534,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,1657,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,1819,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,1914,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,1595,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,1659,0.0,0.0,0.0,0.0,0.0,0.0
Iran,1884,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,1676,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,1699,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,1923,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1683,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,1722,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1734,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1768,0.0,0.0,0.0,0.0,0.0,0.0
